kind,ts,ip,event_type,path,status,true_label,pred_label,attack_run_id
FN,2026-03-04 07:59:33+07,127.0.0.1,http_request,/login,200,bruteforce,normal,5
FN,2026-03-04 07:59:33+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:33+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:33+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:33+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:34+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:34+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:35+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:35+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:35+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:35+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:36+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:36+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:36+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:36+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:37+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:37+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:37+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:37+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:38+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:38+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:38+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:38+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:38+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:38+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:39+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:39+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:39+07,203.0.113.11,auth_login_failed,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:39+07,203.0.113.11,http_request,/login,302,bruteforce,normal,5
FN,2026-03-04 07:59:54+07,198.51.100.88,http_request,/probe/ucAzN3dL94ON,404,scan,normal,7
FN,2026-03-04 07:59:54+07,198.51.100.88,http_request,/probe/Xnl1Psz8130s,404,scan,normal,7
FN,2026-03-04 07:59:54+07,198.51.100.88,http_request,/probe/T6jlcdFYAFXi,404,scan,normal,7
FN,2026-03-04 07:59:54+07,198.51.100.88,http_request,/probe/K2hPjXFPV3TL,404,scan,normal,7
FN,2026-03-04 07:59:55+07,198.51.100.88,http_request,/probe/1SJtsrCTMAVE,404,scan,normal,7
FN,2026-03-04 07:59:55+07,198.51.100.88,http_request,/probe/DVxI2Gnjj3Es,404,scan,normal,7
FN,2026-03-04 07:59:55+07,198.51.100.88,http_request,/probe/XRMtv1VZJWji,404,scan,normal,7
FN,2026-03-04 07:59:55+07,198.51.100.88,http_request,/probe/zpHLxaKRRT7x,404,scan,normal,7
FN,2026-03-04 07:59:55+07,198.51.100.88,http_request,/probe/U4cmQBvRbP8L,404,scan,normal,7
FN,2026-03-04 07:59:56+07,198.51.100.88,http_request,/probe/DC5C0zwgM24i,404,scan,normal,7
FN,2026-03-04 07:59:56+07,198.51.100.88,http_request,/probe/63ZtAcJhM0nJ,404,scan,normal,7
FN,2026-03-04 07:59:56+07,198.51.100.88,http_request,/probe/tuMDYuCVXqbY,404,scan,normal,7
FN,2026-03-04 07:59:56+07,198.51.100.88,http_request,/probe/8mpiBAgRSVLk,404,scan,normal,7
FN,2026-03-04 07:59:56+07,198.51.100.88,http_request,/probe/8spOY6ETjOge,404,scan,normal,7
FN,2026-03-04 07:59:56+07,198.51.100.88,http_request,/probe/F7pTgSmCGz8N,404,scan,normal,7
FN,2026-03-04 07:59:57+07,198.51.100.88,http_request,/probe/wRQ2N41xPmFH,404,scan,normal,7
FN,2026-03-04 07:59:57+07,198.51.100.88,http_request,/probe/lgEbJB1FZZlC,404,scan,normal,7
FN,2026-03-04 07:59:57+07,198.51.100.88,http_request,/probe/qbMMkJS4rA9Y,404,scan,normal,7
FN,2026-03-04 07:59:57+07,198.51.100.88,http_request,/probe/Jep6lYXk4C5A,404,scan,normal,7
